name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Location! LOW MONTHLY RATES.  Luxury w/pkg inc.,8243075,Downtown,Belltown,47.613859999999995,-122.34879,Entire home/apt,139,1,118,1.18,4,348
"Fun apartment in Ballard, Seattle",1037115,Ballard,Whittier Heights,47.690490000000004,-122.36901999999999,Entire home/apt,175,3,92,0.95,3,18
Serene Room in Sunny Cottage near Discovery Park,209571,Magnolia,Lawton Park,47.6612,-122.40145,Private room,46,1,218,2.12,2,354
Sunny Parisian beauty room w/ comfy bed,30559,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,55,2,160,1.55,8,357
Peaceful NE Seattle guest room,990692,Lake City,Matthews Beach,47.70639,-122.28075,Private room,54,3,167,1.6,1,360
West Seattle room with private bath,1215564,West Seattle,North Admiral,47.57327,-122.37436000000001,Private room,60,30,1,0.01,1,266
Scandinavian Queen Anne Home,956883,Queen Anne,North Queen Anne,47.64329,-122.37581999999999,Entire home/apt,215,30,115,1.48,3,0
Stylish Queen Anne Apartment,956883,Queen Anne,West Queen Anne,47.63629,-122.37103,Entire home/apt,165,30,299,2.9,3,230
"Sleepy North Admiral, West Seattle",512084,West Seattle,North Admiral,47.58143,-122.39411000000001,Entire home/apt,73,2,245,2.38,1,173
Phinney Oasis-Ballard/Phinney,1336214,Other neighborhoods,Phinney Ridge,47.677170000000004,-122.36169,Entire home/apt,85,30,161,1.58,1,18
Charming Hideaway in North Ballard,1387754,Ballard,Whittier Heights,47.68649,-122.36846000000001,Entire home/apt,100,1,60,0.61,1,309
"Storybook Tudor, house at GreenLake",558743,Other neighborhoods,Green Lake,47.68378,-122.34201000000002,Entire home/apt,200,4,31,0.32,2,16
"NorthBeach, fantastic water view",1309213,Other neighborhoods,North Beach/Blue Ridge,47.69818,-122.3871,Entire home/apt,195,30,0,,1,0
Belltown Condo-Close to Pike Place-Get HCP Spec,74305,Downtown,Belltown,47.61461,-122.34811,Entire home/apt,94,2,83,0.89,51,58
Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,8243075,Downtown,Belltown,47.61607,-122.34668,Entire home/apt,139,2,131,1.29,4,310
Shining Starlight house in Seattle,1452570,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,299,2,76,0.8,3,156
"Luxury, Location, Great For Family",658155,Central Area,Atlantic,47.59471,-122.30559,Entire home/apt,229,30,172,1.73,9,67
11th Avenue Inn Bed and Breakfast,31509,Capitol Hill,Broadway,47.61988,-122.31961000000001,Private room,99,1,53,0.53,2,0
Seattle Sojourn Guest Suite near Lighthouse Roasters,781716,Other neighborhoods,Fremont,47.65759,-122.35438,Entire home/apt,140,4,98,1.13,1,22
The Nest in the Heart of the City,721070,Downtown,First Hill,47.6121,-122.33,Entire home/apt,183,1,203,2.04,1,281
2 Bed 2 Bath  Downtown Seattle Walk to Pike Place,74305,Downtown,Belltown,47.61462,-122.34803000000001,Entire home/apt,74,2,109,1.08,51,170
Cap Hill Mountain/Lake View Oasis,1545026,Capitol Hill,Stevens,47.62388,-122.30133000000001,Entire home/apt,125,30,60,0.84,1,0
"Belltown Condo with Water View, Spec Rate for HCP",74305,Downtown,Belltown,47.614470000000004,-122.34815,Entire home/apt,64,2,68,0.69,51,56
Hip Condo Private Deck East Lake Union - Long Term,1204187,Cascade,Eastlake,47.64481,-122.32428999999999,Entire home/apt,130,30,10,0.1,1,365
Vintage Capitol Hill - 2 Pkg Spots,658155,Capitol Hill,Broadway,47.62254,-122.31709,Entire home/apt,240,30,189,1.98,9,122
Family Friendly Modern Seattle Home,1577903,Central Area,Atlantic,47.59583,-122.29788,Entire home/apt,135,30,5,0.05,1,0
"spacious, great location w view",1717589,Capitol Hill,Broadway,47.618970000000004,-122.32421000000001,Entire home/apt,165,1,120,1.23,3,365
Charming Wallingford Apartment,1015653,Other neighborhoods,Wallingford,47.655879999999996,-122.33214,Entire home/apt,90,2,194,1.96,1,32
St. John's Apt. 300 *Walkscore 99*,1787819,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,155,30,55,0.58,5,177
West Seattle Backyard Vacation Cottage,1788284,West Seattle,North Admiral,47.58003,-122.39025,Entire home/apt,107,30,70,0.71,1,330
VACATION HOUSE WEST SEATTLE - Close to Beach,791459,West Seattle,Arbor Heights,47.5044,-122.37873,Entire home/apt,185,4,37,0.37,1,365
Seattle 2 BR w Lovely Water Views | BlueStarBnB,306615,Capitol Hill,Portage Bay,47.65047,-122.32021999999999,Entire home/apt,199,90,25,0.57,3,48
St. John's Apt. 309 *Walkscore 99*,1787819,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,196,3,128,1.33,5,153
art loft downtown~ID~Stadiums,1025723,Downtown,International District,47.60002,-122.32741999999999,Private room,99,3,743,7.55,2,123
Large Luxury Lakeside Seattle Home,4186078,Other neighborhoods,Green Lake,47.68354,-122.33091,Entire home/apt,450,4,33,0.41,1,335
Private Guest Studio- Phinney Ridge,1865986,Other neighborhoods,Greenwood,47.683479999999996,-122.35705,Private room,85,3,226,2.3,2,58
4BR/2BA Craftsman Charmer w/ Stunning Sunset Views,287962,Other neighborhoods,Fremont,47.66623,-122.3607,Entire home/apt,400,30,25,0.26,1,0
6 room/10 bed/3 bath- Award Winning/ Walk Downtown,50893,Capitol Hill,Broadway,47.6257,-122.32095,Entire home/apt,499,3,52,0.54,2,341
Modern Capitol Hill. LOCATION Great Monthly Rates,1121532,Capitol Hill,Broadway,47.62178,-122.32378999999999,Entire home/apt,119,1,161,1.8,6,331
Fantastic View-Close to Light Rail-Solar Powered!,3313235,Beacon Hill,North Beacon Hill,47.58513,-122.31526000000001,Private room,72,2,262,2.7,1,363
2/1 Plush Modern Hilltop Retreat,437055,Beacon Hill,North Beacon Hill,47.57577,-122.31636,Entire home/apt,112,3,146,1.52,1,180
2BR Greenhouse Duplex in the City with Fenced Yard,2057654,Central Area,Madrona,47.60907,-122.29613,Entire home/apt,150,2,173,2.96,2,7
 Modern comfort   high-end everything  rare,165390,Other neighborhoods,Fremont,47.65925,-122.34831000000001,Entire home/apt,225,21,46,0.72,5,28
❤️ modern ✔roof deck ✔garage✔90Walkscore [Rare],165390,Other neighborhoods,Wallingford,47.65356,-122.33952,Entire home/apt,259,5,104,1.11,5,191
Guest Bedroom in Capitol Hill Townhouse with Views,450548,Capitol Hill,Broadway,47.61953,-122.31581000000001,Private room,120,1,58,0.62,2,0
Bedroom in artistic Northwest home A,2222321,Other neighborhoods,Wedgwood,47.68523,-122.28943000000001,Private room,50,1,201,2.11,2,365
Browns House Guest Apt. in Ballard,1870781,Ballard,Whittier Heights,47.68394,-122.37305,Entire home/apt,99,2,280,2.92,1,351
MODERN BRIGHT MASTER SUITE CLOSE TO BALLARD,2294267,Other neighborhoods,Crown Hill,47.697359999999996,-122.37621999999999,Private room,80,2,292,3.1,1,153
delux comfort+ in coolest 'hood / spacious 4 bdrm,1210993,Ballard,Sunset Hill,47.66899,-122.4028,Entire home/apt,395,30,24,0.25,1,0
NE Seattle Artist Treehouse Suite!,2342082,Lake City,Cedar Park,47.71796,-122.29113999999998,Entire home/apt,77,30,116,1.22,1,179
Cap Hill modern light-filled home,1495392,Capitol Hill,Stevens,47.62785,-122.29871000000001,Entire home/apt,200,30,1,0.01,2,0
Super cute w/gardens & charm. Great location!,3921530,Other neighborhoods,Fremont,47.6543,-122.35258999999999,Entire home/apt,80,3,353,4.91,3,89
Seattle Pike Place Market Apartment,2403410,Downtown,Pike-Market,47.61172,-122.34368,Entire home/apt,275,30,44,0.47,1,0
Columbia City Treehouse Vacation Rental,2431399,Rainier Valley,Columbia City,47.56051,-122.27895,Entire home/apt,79,2,354,3.73,1,282
THE 5-STAR  HOUSE- ROOM 5-> MARILYN MONROE'S ROOM,2438665,Other neighborhoods,Crown Hill,47.7019,-122.36781,Private room,65,3,178,1.86,4,194
"Garden Apartment, Keypad Entry",1414691,Other neighborhoods,Wallingford,47.65854,-122.32582,Entire home/apt,85,2,181,1.89,2,365
Max's West Seattle Hideaway,2370749,Delridge,Riverview,47.5366,-122.35605,Private room,45,30,282,2.96,1,0
"8, Sparkling Seattle Center",2612779,Queen Anne,Lower Queen Anne,47.62082,-122.35633999999999,Entire home/apt,95,30,441,4.63,1,0
Seattle 2 BR w Amazing Water Views | BlueStarBnB,306615,Capitol Hill,Portage Bay,47.65043,-122.32021,Entire home/apt,229,30,24,0.29,3,209
Charming Capitol Hill Room,2739131,Capitol Hill,Broadway,47.619679999999995,-122.32415,Private room,98,2,379,4.06,2,147
Cute Bungalow #2 - near Light Rail,2774354,Rainier Valley,Mount Baker,47.57917,-122.29212,Private room,40,2,194,2.07,2,271
Cute Bungalow #1 - near Light Rail,2774354,Rainier Valley,Mount Baker,47.57955,-122.29368999999998,Private room,47,2,264,2.79,2,36
Garden Apartment in Madison Valley,2781551,Central Area,Mann,47.62125,-122.29697,Entire home/apt,95,30,308,3.57,3,285
"""THE 5-STAR HOUSE"" -  ROOM 6->THE HAWAIIAN ROOM",2438665,Other neighborhoods,Crown Hill,47.70084,-122.36738000000001,Private room,80,3,90,0.97,4,204
Queen Bee room w/memory foam bed,30559,Beacon Hill,Mid-Beacon Hill,47.55004,-122.31742,Private room,60,2,165,1.77,8,351
St. John's Apt. 319 *Walkscore 99*,1787819,Downtown,First Hill,47.6139,-122.32228,Entire home/apt,168,30,53,0.63,5,45
West Seattle Home at Alaska Junction!,2613029,West Seattle,Genesee,47.56221,-122.38598,Private room,99,3,16,0.2,1,365
condo in seattle,103427,Downtown,Central Business District,47.61436,-122.33171999999999,Entire home/apt,210,30,1,0.01,1,365
"Sans souci in Seattle: Clean, fresh air (4 guests)",3018655,Other neighborhoods,Greenwood,47.698609999999995,-122.36344,Entire home/apt,275,30,2,0.06,2,90
CLEAN FRESH AIR: Sans souci in Seattle (6 guests),3018655,Other neighborhoods,Greenwood,47.69656,-122.36275,Entire home/apt,295,3,14,0.2,2,365
A place to stay: studio apartment,3022709,Rainier Valley,Columbia City,47.56962,-122.29396000000001,Entire home/apt,250,30,22,0.23,2,112
Charming Fremont Garden Cottage,3023407,Other neighborhoods,Fremont,47.65651,-122.36057,Entire home/apt,99,2,503,5.34,1,330
Craftsman with Private Bath & A/C,3032548,Other neighborhoods,Wallingford,47.6637,-122.33623,Private room,80,2,82,0.88,1,363
Fabulous view and Great location,3040367,West Seattle,Fauntleroy,47.51855,-122.39119,Private room,84,3,157,1.67,1,44
Spacious quiet/deck Ravenna UW 04-5,3074414,Other neighborhoods,Bryant,47.67532,-122.28927,Entire home/apt,99,30,7,0.07,49,365
"Belltown View Condo, Entire Home",3139639,Downtown,Belltown,47.613479999999996,-122.34843000000001,Entire home/apt,150,30,162,1.73,1,0
Cozy private bedroom in 2b/r 1bath condo SCH,3169976,Other neighborhoods,Bryant,47.665079999999996,-122.28414,Entire home/apt,90,30,3,0.03,2,364
Center UW Spacious 2 Beds (203),3074414,University District,University District,47.66154,-122.31358999999999,Entire home/apt,89,81,28,0.34,49,270
Roots at the Center of the Universe,3181546,Other neighborhoods,Fremont,47.65161,-122.35606999999999,Entire home/apt,255,1,105,1.19,3,295
Fabulous home for a family!,3187723,Central Area,Madrona,47.60975,-122.29011000000001,Entire home/apt,250,3,15,0.26,1,328
Room in Seattle's Fremont area,2308816,Other neighborhoods,Fremont,47.65587,-122.35688,Private room,75,3,254,2.74,1,365
Gorgeous Downtown/Convention Condo,3294357,Downtown,First Hill,47.61234,-122.32972,Entire home/apt,175,30,79,0.86,4,362
"AC, Walkable, tv, king bed, noise machine-1",3319649,Central Area,Minor,47.60342,-122.30858,Private room,100,1,124,1.34,4,0
Elegant Madison Park Townhome,3340441,Central Area,Harrison/Denny-Blaine,47.62423,-122.29042,Entire home/apt,229,30,10,0.42,1,365
Blue Room,3396093,Other neighborhoods,Greenwood,47.69109,-122.36464,Private room,65,30,1,0.02,2,0
Ethiopian cottage #2,3401993,Rainier Valley,Mount Baker,47.56841,-122.28621000000001,Private room,42,30,233,2.94,3,296
Moulin Rouge room French style double room,30559,Other neighborhoods,Georgetown,47.55041,-122.31857,Private room,60,2,88,0.95,8,364
Spacious West Seattle Mid Century Modern In-law,926885,Delridge,South Delridge,47.52924,-122.35853,Entire home/apt,89,1,117,4.41,1,83
Bright room in Seattle Judkins Park,103825,Central Area,Atlantic,47.59243,-122.3019,Private room,60,30,43,0.47,1,0
Elegance and Coziness in Broadview,3520873,Other neighborhoods,Broadview,47.72273,-122.35668000000001,Private room,125,2,10,0.11,1,362
Green built home in Columbia City,3550436,Rainier Valley,Columbia City,47.562529999999995,-122.29243999999998,Entire home/apt,150,30,1,0.01,1,0
Ballard Artist's Studio,3587674,Ballard,Adams,47.671690000000005,-122.38524,Private room,95,2,248,2.71,1,323
True Wallingford Craftsman,1611114,Other neighborhoods,Wallingford,47.652429999999995,-122.33785,Entire home/apt,165,2,162,1.76,1,252
Elegant Vintage Craftsman Apartment With Garden,3620313,Queen Anne,North Queen Anne,47.64215,-122.36958999999999,Entire home/apt,145,1,260,2.91,1,166
Sky Cabin Apartment with Views,2070664,Cascade,Eastlake,47.643390000000004,-122.32582,Entire home/apt,155,2,489,5.37,1,97
Clean and Comfortable Eastlake/Lake Union 1 BR,316200,Cascade,Eastlake,47.64,-122.32412,Entire home/apt,105,30,129,1.44,7,294
BAMBOO BUNGALOW,3740695,Central Area,Harrison/Denny-Blaine,47.619659999999996,-122.28956000000001,Entire home/apt,333,30,50,0.55,2,240
"The Cozy Cottage in Maple Leaf (UW, Green Lake)",3737272,Northgate,Maple Leaf,47.696529999999996,-122.31726,Entire home/apt,129,2,123,1.4,1,349
Seward Park Zen Retreat 苏厄德公园禅撤退,2535710,Seward Park,Seward Park,47.55546,-122.27218,Entire home/apt,164,2,212,2.44,1,205
Mother in law studio-Ballard/phinne,3932149,Other neighborhoods,Phinney Ridge,47.67945,-122.36355,Entire home/apt,81,30,84,0.93,1,0
Beautiful Capitol Hill Townhouse Near Light Rail!,450548,Capitol Hill,Broadway,47.61995,-122.31665,Entire home/apt,225,1,195,2.19,2,39
Gem in Mount Baker Neighborhood,3976886,Rainier Valley,Mount Baker,47.57375,-122.29271999999999,Private room,89,2,87,0.97,1,88
Hilltop House - 4 Bdrm Queen Anne Primo Location!,3991908,Queen Anne,Lower Queen Anne,47.63153,-122.35843,Entire home/apt,300,2,348,3.84,1,309
"Luxury home, panoramic view, and gourmet kitchen",2111774,West Seattle,Genesee,47.56674,-122.38108000000001,Entire home/apt,86,30,39,0.44,1,234
Private Garden Apt w/ Soaking Tub,4057441,Central Area,Minor,47.60903,-122.31548000000001,Entire home/apt,140,3,478,6.03,1,56
Stylish Getaway + City Views + Highly Walkable,4136969,Central Area,Leschi,47.606320000000004,-122.29483,Entire home/apt,200,30,1,0.01,1,0
Columbia City~Large room/Arty house,4154214,Rainier Valley,Columbia City,47.55142,-122.28087,Private room,70,30,27,0.3,1,0
Designer Loft in Pioneer Square,1872473,Downtown,Pioneer Square,47.59583,-122.33235,Entire home/apt,149,30,123,1.43,1,362
Cheery Seattle House with View,4181120,Beacon Hill,North Beacon Hill,47.57907,-122.31539,Entire home/apt,105,2,293,3.28,1,155
Guest House in Madison Valley,2012892,Central Area,Harrison/Denny-Blaine,47.62536,-122.29151999999999,Entire home/apt,118,2,531,6.26,1,246
Cozy Old House Near City Center and Light Rail,4199445,Rainier Valley,Mount Baker,47.57124,-122.29078999999999,Private room,55,2,167,2.49,2,0
Overlook a Peaceful Courtyard and Walk to Pike Place Market,74305,Downtown,Belltown,47.6145,-122.34821000000001,Entire home/apt,84,2,93,1.16,51,126
Goat Hill House Apartment,4133943,Rainier Valley,Mount Baker,47.58357,-122.2959,Entire home/apt,82,3,127,1.47,1,346
"5 Star Spot, Hot Tub, Sauna, Pool, Gym, Parking",4411144,Downtown,Belltown,47.61503,-122.3475,Entire home/apt,135,2,142,1.63,2,345
Right at Home in Ravenna,4421734,Other neighborhoods,Ravenna,47.68104,-122.30928999999999,Private room,42,30,68,0.76,1,224
Bright and beautiful craftsman in heart of Seattle,1195347,Other neighborhoods,Wallingford,47.65036,-122.3409,Entire home/apt,90,60,1,0.1,1,150
In Jimi Hendrix's neighborhood 2,287172,Central Area,Atlantic,47.60027,-122.29987,Private room,50,1,75,0.87,2,353
In Jimi Hendrix's neighborhood 3,287172,Central Area,Atlantic,47.60051,-122.30198999999999,Private room,50,30,86,0.97,2,295
"LOCATION! WiFi, Pool,Luxury 2br/2ba/LOCATION PRKG!",8243075,Downtown,Belltown,47.615970000000004,-122.34508999999998,Entire home/apt,200,1,98,1.14,4,269
Private studio in Seattle,3264544,Delridge,Highland Park,47.52383,-122.35287,Entire home/apt,68,2,187,2.17,3,365
Seattle Mini Home with Hot Tub and Private Deck,4678869,Ballard,West Woodland,47.66539,-122.3661,Entire home/apt,85,3,369,4.22,1,318
Bella Vista- Queen Anne Hill,1881431,Queen Anne,Lower Queen Anne,47.62782,-122.35341000000001,Private room,99,3,168,2.0,1,338
"Pike Place 2 Blocks, Best Spot!",4962900,Downtown,Central Business District,47.606,-122.33861,Entire home/apt,999,2,86,1.07,32,350
Close to Everything!!!,4962900,Downtown,Central Business District,47.60608,-122.33943000000001,Entire home/apt,999,2,86,1.07,32,341
Shopping and Nightlife!!!,4962900,Downtown,Central Business District,47.60692,-122.33971000000001,Entire home/apt,999,2,44,0.55,32,335
One block from Pike's Market!,4962900,Downtown,Central Business District,47.606,-122.3389,Entire home/apt,999,2,48,0.59,32,295
Perfect Seattle Vacation Spot!,4962900,Downtown,Central Business District,47.60577,-122.33757,Entire home/apt,999,2,94,1.23,32,360
Next to Seattle Art Museum!,4962900,Downtown,Central Business District,47.607009999999995,-122.33721000000001,Entire home/apt,999,2,41,0.52,32,324
Charming Greenwood neighborhood flat,4705328,Other neighborhoods,Greenwood,47.689440000000005,-122.36508,Private room,98,2,119,1.38,1,316
Capitol Hill Garden Cottage - free parking,365687,Capitol Hill,Broadway,47.62845,-122.32513,Entire home/apt,99,2,330,3.83,1,317
Cozy and minutes from everything,5325813,Central Area,Minor,47.60767,-122.30561999999999,Entire home/apt,140,2,244,2.93,4,0
serene apartment close to UW,5282519,University District,University District,47.6652,-122.30528999999999,Entire home/apt,80,2,147,1.7,1,228
Nice & cozy 1b/r 1bath-UVillage/SCH,3169976,Other neighborhoods,Bryant,47.66285,-122.28511,Entire home/apt,85,30,4,0.05,2,0
Hillman City Studio Apartment,5468524,Rainier Valley,Brighton,47.54517,-122.27013999999998,Entire home/apt,85,3,58,0.69,1,112
Westside Hideaway,5486919,West Seattle,North Admiral,47.58045,-122.39686999999999,Entire home/apt,100,2,174,2.1,1,8
PRIVATE  3 BEDROOM HOME,5507055,Delridge,South Delridge,47.52987,-122.35982,Entire home/apt,99,30,206,2.42,1,355
Capitol Hill Gem in Great Location,5567436,Capitol Hill,Montlake,47.639759999999995,-122.32225,Private room,145,2,36,0.42,1,347
"Contemporary, Cozy, and Warm Home",5387574,Northgate,Haller Lake,47.70609,-122.34168000000001,Private room,55,30,9,0.11,1,363
"Get Cozy at a Hip, Vintage-Style Retreat",5635244,Ballard,Whittier Heights,47.677209999999995,-122.3697,Entire home/apt,90,3,260,3.18,2,244
Heart of Capitol Hill-5 mins from Downtown Seattle,5724883,Capitol Hill,Broadway,47.622,-122.32228,Entire home/apt,66,30,285,3.44,1,0
Perfect Location by Lake Washington,5736221,Capitol Hill,Madison Park,47.6342,-122.28011000000001,Entire home/apt,89,2,267,3.14,1,365
Bright&Sweet next to Convention Ctr,3294357,Downtown,First Hill,47.61289,-122.32923999999998,Entire home/apt,155,3,49,0.6,4,332
"West Seattle Home, Dazzling View, Quiet & Tranquil",5774906,West Seattle,Fauntleroy,47.526790000000005,-122.38346000000001,Entire home/apt,129,2,290,3.4,1,190
Vintage Historic Garden  Mansion on Capitol Hill,1729224,Capitol Hill,Stevens,47.63051,-122.31031000000002,Entire home/apt,89,1,62,1.06,3,38
Beautiful Private Suite in the Heart of Seattle,2754788,Other neighborhoods,Fremont,47.6552,-122.35937,Private room,85,2,30,0.65,3,69
Amazing Ocean Views!,4962900,Downtown,Central Business District,47.606790000000004,-122.33823999999998,Entire home/apt,999,2,19,0.23,32,331
Comfy 1 Bdrm Capitol Hill Apartment,2739131,Capitol Hill,Broadway,47.61785,-122.32808999999999,Entire home/apt,69,2,327,3.86,2,104
Relaxed sophistication in Mt. Baker,6031552,Rainier Valley,Mount Baker,47.56904,-122.28282,Entire home/apt,92,2,225,2.67,1,341
Tree top room in artsy Fremont - high ceilings,3921530,Other neighborhoods,Fremont,47.65445,-122.3544,Private room,65,2,323,4.48,3,75
Queen Anne 3 bed near everything,5325329,Queen Anne,West Queen Anne,47.6353,-122.36327,Entire home/apt,325,1,327,3.92,13,145
