Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
Kantech,Y,NJ,,1986,,,,Johnson Controls/Tyco Integrated Systems,JCI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,"Procurement, Contracting, & Other Admin Services",,,,,12,Y,,,N,,Acquisition history unknown,http://www.kantech.com/,https://www.tycosecurityproducts.com/GOV_CS_Doc.aspx,,,,
Karetas Foods,Y,PA,50,1976,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,N,,,http://www.karetasfoods.com/,NYS DOCCS Spending,,,,
Kauffman Engineering,Y,IN,,1999,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Programs & Labor,Vocation/Industries (Prison Labor),,,,Y,,,460,2018,N,,,https://kewire.com/,https://435bd23a-f4be-41cf-aa06-68751a4fd6ce.usrfiles.com/ugd/435bd2_32bc2006882b43af919b81b575a9de79.pdf,,https://www.nationalcia.org/statistical-reports,PrivCo (www.privco.com),
Kazee,Y,GA,,,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,,,N,,,http://kazee.us/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,,
KBI,Y,FL,,2001,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,,,N,,,http://kbius.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,,
KBS Electrical Distributors,Y,TX,45,1982,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,18,2018,N,,,http://www.kbselectric.com/,TDCJ Spending,,,PrivCo (www.privco.com),
KCorp Technology Services,Y,AL,,,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,Y,,,,,,N,,,http://www.kcorptechnology.net/,,GovSpend,,,
KD Foods,Y,CA,,,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,,http://kdfoodsca.com/index.html,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,,,,
Keating of Chicago,Y,IL,80,1931,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,21,2018,N,,,http://www.keatingofchicago.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,,,PrivCo (www.privco.com),
Keefe Group,Y,MO,2500,1960,2016,,HIG Capital,TKC Holdings,,Tier 2 - Investment Firm-Owned,Food & Commissary,Commissary,Food & Commissary,Care Packages,Y,Y,12,Y,1000,2016,Y,,"Acquired by TKC Holdings in 2016; Also engages in prison telecom, case management systems, release cards, money transfers",https://www.keefegroup.com/,See website,https://ica-farmville.com/?page_id=213,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),https://sanquentinnews.com/us-prison-commissary-giants-are-set-to-merge/
Keeton Corrections,Y,FL,210,1982,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Residential Programs,Healthcare,Substance Abuse Treatment,,,,,41,2018,Y,,,http://www.keetoncorrections.com/,See website,,,PrivCo (www.privco.com),
"Keith Corporation, The",Y,NC,,1989,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Maintenance Services,,,,,,,,,N,,,https://www.thekeithcorp.com/,"http://www.charlotteobserver.com/news/local/article45745595.html, ",,,,
Kenall Lighting,Y,WI,,1963,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://kenall.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,,
Kenco,Y,NJ,,1978,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,,http://www.kencowire.com/,See website,,,,
Kendall Healthcare Group,Y,FL,,1973,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,,,N,,,http://kendallmed.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,,,,
KenTech Consulting,Y,IL,45,2006,,,,,,Tier 4 - Small Privately-Owned,Personnel,Other,,,,,,,5.5,2018,N,,,http://www.ekentech.com/,http://www.ekentech.com/background-checks/government-background-checks,,,PrivCo (www.privco.com),https://www.majorcitieschiefs.com/sponsors.php
Kentucky Alternative Programs,Y,KY,110,,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,"Probation, Parole, & Other Supervision",,,,,,,13.4,2018,Y,,,http://www.kyalternatives.com,https://www.hrw.org/report/2018/02/20/set-fail/impact-offender-funded-private-probation-poor,,,PrivCo (www.privco.com),
KEPRO (formerly APS Healthcare),Y,PA,1600,1985,2017,,,,,Tier 4 - Small Privately-Owned,Healthcare,Other,,,,,,,170,2018,N,,Acquired by Consonance in 2014 then sold to unknown buyer in 2017,https://www.kepro.com/,NYS DOCCS Spending,,,PrivCo (www.privco.com),https://www.pehub.com/2017/05/consonance-capital-exits-kepro/#
