Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Branch,Space Flight (hr),Space Walks (hr),Missions,Death Date,Death Mission
Daniel W. Bursch,1990.0,13.0,Retired,7/25/1957,"Bristol, PA",Male,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,US Navy,5446,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",,
Robert D. Cabana,1985.0,11.0,Management,1/23/1949,"Minneapolis, MN",Male,US Naval Academy,Mathematics,,US Marine Corps,910,0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",,
Yvonne D. Cagle,1996.0,16.0,Management,4/24/1959,"West Point, NY",Female,San Francisco State University,Biochemistry,,US Air Force,0,0,,,
Fernando Caldeiro,1996.0,16.0,Deceased,6/12/1958,"Buenos Aires, Argentina",Male,University of Arizona; University of Central Florida,Mechanical Engineering,Engineering Management,,0,0,,10/3/2009,
Tracy E. Caldwell (Dyson),1998.0,17.0,Active,8/14/1969,"Arcadia, CA",Female,California State University-Fullerton; University of California-Davis,Chemistry,Physical Chemistry,,4531,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",,
Charles J. Camarda,1996.0,16.0,Management,5/8/1952,"Queens, NY",Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,,333,0,STS-114 (Discovery),,
Kenneth D. Cameron,1984.0,10.0,Retired,11/29/1949,"Cleveland, OH",Male,MIT; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administration,US Marine Corps,562,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Duane G. Carey,1996.0,16.0,Retired,4/30/1957,"St. Paul, MN",Male,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,US Air Force,262,0,STS-109 (Columbia),,
M. Scott Carpenter,1959.0,1.0,Retired,5/1/1925,"Boulder, CO",Male,University of Colorado,Aeronautical Engineering,,US Navy,4,0,Mercury 7,,
Gerald P. Carr,1966.0,5.0,Retired,8/22/1932,"Denver, CO",Male,University of Southern California; US Naval Postgraduate School; Princeton University,Mechanical Engineering,Aeronautical Engineering,US Marine Corps,2017,16,Skylab 4,,
Manley Lanier Carter Jr. ,1984.0,10.0,Deceased,8/15/1947,"Macon, GA",Male,Emory University,Chemistry,Medicine,US Navy,120,0,STS-33 (Discovery),4/5/1991,
John H. Casper,1984.0,10.0,Management,7/9/1943,"Greenville, SC",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,US Air Force,825,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
Christopher J. Cassidy,2004.0,19.0,Active,1/4/1970,"Salem, MA",Male,US Naval Academy; MIT,Mathematics,Ocean Engineering,US Navy,4376,31,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
Eugene A. Cernan,1963.0,3.0,Retired,3/14/1934,"Chicago, IL",Male,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,US Navy,566,24,"Gemini 9, Apollo 10, Apollo 17",,
Roger B. Chaffee,1963.0,3.0,Deceased,2/15/1935,"Grand Rapids, MI",Male,Purdue University,Aeronautical Engineering,,US Navy,0,0,Apollo 1,1/27/1967,Apollo 1
Gregory E. Chamitoff,1998.0,17.0,Active,8/6/1962,"Montreal, Canada",Male,California Polytechnic State University; California Institute of Technology; MIT,Electrical Engineering,Aeronautical Engineering; Aeronautics & Astronautics,,4770,13,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
Franklin R. Chang-Diaz,1980.0,9.0,Retired,4/5/1950,"San Jose, Costa Rica",Male,University of Connecticut; MIT,Mechanical Engineering,Applied Plasma Physics,,1602,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
Philip K. Chapman,1967.0,6.0,Retired,3/5/1935,"Melbourne, Australia",Male,University of Sydney; MIT,Physics & Mathematics,Aeronautics & Astronautics; Instrumentation,,0,0,,,
Kalpana Chawla,1995.0,15.0,Deceased,6/1/1961,"Karnal, India",Female,Punjab Engineering College; University of Texas-Arlington; University of Colorado,Aeronautical Engineering,Aerospace Engineering,,734,0,"STS-87 (Columbia), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
Leroy Chiao,1990.0,13.0,Retired,8/28/1960,"Milwaukee, WI",Male,University of California-Berkeley; University of California-Santa Barbara,Chemical Engineering,Chemical Engineering,,5503,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",,
Kevin P. Chilton,1987.0,12.0,Retired,3/11/1954,"Los Angeles, CA",Male,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,US Air Force,700,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,
Laurel B. Clark,1996.0,16.0,Deceased,3/10/1961,"Ames, IA",Female,University of Wisconsin-Madison,Zoology,Medicine,US Navy,382,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
Mary L. Cleave,1980.0,9.0,Retired,2/5/1947,"Southampton, NY",Female,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,,262,0,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
Michael R. Clifford,1990.0,13.0,Retired,10/13/1952,"San Bernardino, CA",Male,US Military Academy; Georgia Institute of Technology,,Aerospace Engineering,US Army,666,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
Michael L. Coats,1978.0,8.0,Retired,1/16/1946,"Sacramento, CA",Male,US Naval Academy; George Washington University; US Naval Postgraduate School,,Science & Technology Administration; Aeronautical Engineering,US Navy,463,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
Kenneth D. Cockrell,1990.0,13.0,Management,4/9/1950,"Austin, TX",Male,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,US Navy,1548,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
Catherine G. Coleman,1992.0,14.0,Active,12/14/1960,"Charleston, SC",Female,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,US Air Force,4324,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Eileen M. Collins,1990.0,13.0,Retired,11/19/1959,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,US Air Force,890,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
Michael Collins,1963.0,3.0,Retired,10/31/1930,"Rome, Italy",Male,US Military Academy,,,US Air Force,266,1,"Gemini 10, Apollo 11",,
Charles Conrad Jr. ,1962.0,2.0,Deceased,5/2/1930,"Philadelphia, PA",Male,Princeton University,Aeronautical Engineering,,US Navy,1179,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",7/8/1999,
L. Gordon Cooper Jr. ,1959.0,1.0,Deceased,3/6/1927,"Shawnee, OK",Male,Air Force Institute of Technology,Aeronautical Engineering,,US Air Force,225,0,"Mercury 9, Gemini 5",10/4/2004,
Richard O. Covey,1978.0,8.0,Retired,8/1/1946,"Fayetteville, AR",Male,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,US Air Force,645,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,
Timothy J. Creamer,1998.0,17.0,Management,11/15/1959,"Ft. Huachuca, AZ",Male,Loyola College; MIT,Chemistry,Physics,US Army,3917,0,ISS-22/23 (Soyuz),,
John O. Creighton,1978.0,8.0,Retired,4/28/1943,"Orange, TX",Male,US Naval Academy; George Washington University,,Science & Technology Administration,US Navy,404,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
Robert L. Crippen,1969.0,7.0,Retired,9/11/1937,"Beaumont, TX",Male,University of Texas,Aerospace Engineering,,US Navy,565,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",,
Frank L. Culbertson Jr. ,1984.0,10.0,Retired,5/15/1949,"Charleston, SC",Male,US Naval Academy,Aerospace Engineering,,US Navy,3446,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
Walter Cunningham,1963.0,3.0,Retired,3/16/1932,"Creston, IA",Male,University of California-Los Angeles,Physics,Physics,US Marine Corps,260,0,Apollo 7,,
Robert L. Curbeam Jr. ,1995.0,15.0,Retired,3/5/1962,"Baltimore, MD",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,US Navy,902,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
Nancy J. Currie,1990.0,13.0,Management,12/29/1958,"Wilmington, DE",Female,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,US Army,999,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
N. Jan Davis,1987.0,12.0,Retired,11/1/1953,"Cocoa Beach, FL",Female,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,,673,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
Alvin B. Drew Jr. ,2000.0,18.0,Active,11/5/1962,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,US Air Force,613,13,"STS-118 (Endeavor), STS-133 (Discovery)",,
Brian Duffy,1985.0,11.0,Retired,6/20/1953,"Boston, MA",Male,US Air Force Academy; University of Southern California,Mathematics,Systems Management,US Air Force,977,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
Charles M. Duke Jr. ,1966.0,5.0,Retired,10/3/1935,"Charlotte, NC",Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,US Air Force,265,20,Apollo 16,,
Bonnie J. Dunbar,1980.0,9.0,Retired,3/3/1949,"Sunnyside, WA",Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,,1207,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
James P. Dutton Jr. ,2004.0,19.0,Management,11/20/1968,"Eugene, OR",Male,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,US Air Force,362,0,STS-131 (Discovery),,
Joe F. Edwards Jr. ,1995.0,15.0,Retired,2/3/1958,"Richmond, VA",Male,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,US Navy,211,0,STS-89 (Endeavor),,
Donn F. Eisele,1963.0,3.0,Deceased,5/23/1930,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,US Air Force,260,0,Apollo 7,12/2/1987,
Anthony W. England,1967.0,6.0,Retired,5/15/1942,"Indianapolis, IN",Male,MIT,Geology,Geology; Geophysics,,190,0,STS 51-F (Challenger),,
Joe H. Engle,1966.0,5.0,Retired,8/26/1932,"Dickinson, KS",Male,University of Kansas,Aeronautical Engineering,,US Air Force,224,0,"STS-2 (Columbia), STS 51-I (Discovery)",,
Jeanette J. Epps,2009.0,20.0,Active,11/3/1970,"Syracuse, NY",Female,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,,0,0,,,
Ronald E. Evans Jr. ,1966.0,5.0,Deceased,11/10/1933,"St. Francis, KS",Male,University of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,US Navy,301,1,Apollo 17,4/6/1990,
John M. Fabian,1978.0,8.0,Retired,1/28/1939,"Goosecreek, TX",Male,Washington State University; US Air Force Institute of Technology; University of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,US Air Force,316,0,"STS-7 (Challenger), STS 51-G (Discovery)",,
Christopher J. Ferguson,1998.0,17.0,Retired,9/1/1961,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,US Navy,970,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Andrew J. Feustel,2000.0,18.0,Active,8/25/1965,"Lancaster, PA",Male,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,,687,42,"STS-125 (Atlantis), STS-134 (Endeavor)",,
E. Michael Fincke,1996.0,16.0,Active,3/14/1967,"Pittsburgh, PA",Male,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,US Air Force,9159,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
Jack D. Fischer,2009.0,20.0,Active,1/23/1974,"Louisville, CO",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,,0,0,,,
Anna L. Fisher,1978.0,8.0,Management,8/24/1949,"New York, NY",Female,University of California-Los Angeles,Chemistry,Chemistry; Medicine,,191,0,STS 51-A (Discovery),,
William F. Fisher,1980.0,9.0,Retired,4/1/1946,"Dallas, TX",Male,Stanford University; University of Houston; University of Florida,,Engineering; Medicine,,170,12,STS 51-I (Discovery),,
C. Michael Foale,1987.0,12.0,Active,1/6/1957,"Louth, England",Male,Cambridge University,Physics,Laboratory Astrophysics,,8970,22,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",,
Kevin A. Ford,2000.0,18.0,Active,7/7/1960,"Portland, IN",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,US Air Force,3781,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
Michael J. Foreman,1998.0,17.0,Management,3/29/1957,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,US Navy,637,32,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Patrick G. Forrester,1996.0,16.0,Management,3/31/1957,"El Paso, TX",Male,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,US Army,950,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Michael E. Fossum,1998.0,17.0,Active,12/19/1957,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),US Air Force,4651,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
Theodore C. Freeman,1963.0,3.0,Deceased,2/18/1930,"Haversford, PA",Male,US Naval Academy; University of Michigan,,Aeronautical Engineering,US Air Force,0,0,,10/31/1964,
Stephen N. Frick,1996.0,16.0,Management,9/30/1961,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,US Navy,566,0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
C. Gordon Fullerton,1969.0,7.0,Retired,10/11/1936,"Rochester, NY",Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,US Air Force,382,0,"STS-3 (Columbia), STS 51-F (Challenger)",,
Ronald J. Garan Jr. ,2000.0,18.0,Management,10/20/1961,"Yonkers, NY",Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Business Economics,Aeronautics; Aerospace Engineering,US Air Force,4271,27,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
Dale A. Gardner,1978.0,8.0,Retired,11/8/1948,"Fairmont, MN",Male,University of Illinois,Engineering Physics,,US Navy,336,12,"STS-8 (Challenger), STS 51-A (Discovery)",,
Guy S. Gardner,1980.0,9.0,Retired,1/6/1948,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,US Air Force,320,0,"STS-27 (Atlantis), STS-35 (Columbia)",,
Owen K. Garriott,1965.0,4.0,Retired,11/22/1930,"Enid, OK",Male,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,,1674,14,"Skylab 3, STS-9 (Columbia)",,
Charles D. Gemar,1985.0,11.0,Retired,8/4/1955,"Yanktown, SD",Male,US Military Academy,Engineering,,US Army,581,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
Michael L. Gernhardt,1992.0,14.0,Management,5/4/1956,"Mansfield, OH",Male,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,,1039,23,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,
